 0.900	 0.633     0
 0.855	-0.088     0
 1.023	 1.410     0
-1.245	 0.379     1
 0.501	 0.305     0
 1.069	 0.312     0
-0.016	-0.335     3
 0.940	 1.027     0
 0.975	 1.005     0
 0.997	 1.125     0
 1.062	 0.393     0
-1.272	 0.253     1
-1.098	 0.121     1
 0.265	 0.816     0
 1.001	 1.445     0
 0.864	 0.336     0
 0.830	-0.136     0
 1.319	 0.286     0
-0.678	 0.154     1
 1.082	 0.752     0
 1.305	-1.129     2
 0.804	 0.539     0
 1.210	 0.089     0
 0.125	 0.193     3
 0.043	 0.731     4
-0.806	 0.449     1
-0.511	 0.071     3
-1.173	-0.145     1
 0.906	-0.807     2
-1.165	-0.046     1
-1.162	-0.156     1
-0.058	 1.268     4
-0.124	-0.084     3
 0.877	-0.463     2
-0.100	 1.465     4
 0.954	 0.739     0
-0.989	-0.194     1
 0.025	 0.689     4
-0.125	 0.077     3
-0.843	-0.349     1
-1.056	 0.068     1
 0.244	 0.198     3
 1.170	 0.529     0
 1.132	 1.085     0
-0.552	-0.582     3
-0.107	 0.042     3
 1.077	-1.205     2
 1.072	-1.071     2
 1.120	-0.044     0
-0.192	 0.060     3
 1.088	-1.257     2
 0.121	-0.003     3
 0.852	-1.047     2
 0.242	 0.147     3
 0.297	 0.415     0
 0.175	 0.158     3
 0.885	 0.516     0
-1.152	 0.760     1
 1.011	 1.312     0
 1.010	-0.223     0
-0.986	 0.132     1
-0.763	 0.164     1
 1.313	 1.309     0
 0.674	 0.787     0
 0.015	 0.329     3
-0.920	 0.239     1
 0.847	 0.926     0
-0.257	-0.310     3
 1.105	-0.377     2
-0.846	-0.284     1
-0.945	 0.097     1
-0.963	-0.067     1
 0.551	 0.980     0
 0.777	 0.185     0
 1.628	 0.029     0
-0.031	-0.338     3
-0.091	-0.246     3
 0.105	 1.481     4
 0.761	-0.399     3
 0.967	 1.163     0
 1.187	 1.382     0
-0.780	-0.129     1
 1.417	 0.119     0
-0.903	 0.006     1
 0.856	-0.210     0
 0.115	-0.028     3
-1.344	 0.060     1
-1.398	-0.070     1
-0.923	 0.052     1
 0.200	 0.480     0
 0.018	 0.756     4
 0.373	 1.049     4
 0.151	 0.040     3
-0.436	-0.085     3
-0.319	 0.145     3
-0.097	-0.459     3
 0.907	 0.923     0
-0.939	-0.208     1
-0.847	-0.781     3
-0.562	-0.310     3
